#x_m,y_m,w_tr_right_m,w_tr_left_m
4.949999999999999,10.75,2.3000000000000003,2.301922366251538
4.85,10.65,2.2480384612481816,2.2079872407968906
4.800000000000001,10.65,2.2,2.2124689052802227
4.65,10.5,2.105202694161139,2.0837994882120436
4.6,10.5,2.058495283014151,2.0926972228010796
4.35,10.25,1.886892772862904,1.9135943621178655
4.35,10.2,1.8965882636488798,1.8662179022434469
4.199999999999999,10.05,1.75,1.781465829649865
4.199999999999999,10.0,1.75,1.7359273071502335
4.15,9.95,1.7000000000000002,1.7124611797498108
4.15,9.9,1.7000000000000002,1.667866865415443
4.050000000000001,9.8,1.6,1.629378138157474
4.050000000000001,9.75,1.6,1.5867962264113207
4.0,9.7,1.55,1.5721645226849057
4.0,9.65,1.55,1.5309833423600556
3.9499999999999993,9.6,1.5,1.5200274723201297
3.9499999999999993,9.55,1.5006943105369108,1.4804493814764859
3.8499999999999996,9.45,1.4066048165876013,1.4691806012954132
3.8499999999999996,9.4,1.411724276862369,1.4327723451163459
3.8000000000000007,9.35,1.3688319268278637,1.4324116139070417
3.8000000000000007,9.3,1.3770509831248423,1.397056274847714
3.75,9.25,1.3378339354159199,1.3985287751463031
3.75,9.15,1.35,1.332482771731451
3.6999999999999993,9.1,1.3,1.3401219466856729
3.6999999999999993,9.05,1.3,1.3101242188104618
3.6500000000000004,9.0,1.25,1.3224980739587953
3.6500000000000004,8.85,1.25,1.2443445211480502
3.5999999999999996,8.8,1.2000000000000002,1.265247584249853
3.5999999999999996,8.6,1.2000000000000002,1.1866068747318506
3.5500000000000007,8.55,1.1500000000000001,1.2182226450688978
3.5500000000000007,6.650000000000001,1.2508062419270825,1.2074813431681335
3.5,6.6000000000000005,1.2033296378372909,1.2532224567009067
3.5,5.750000000000001,1.2890248582070705,1.25
3.4499999999999993,5.7,1.2524174696260024,1.3
3.4499999999999993,5.550000000000001,1.297654530867046,1.2787653403846946
3.4000000000000004,5.500000000000001,1.2692354826475216,1.3194134740701646
3.4000000000000004,5.4,1.3101242188104618,1.3070158679988197
3.3499999999999996,5.3500000000000005,1.288238017426859,1.3530275254816542
3.3499999999999996,5.250000000000001,1.3378339354159199,1.35
3.3000000000000007,5.2,1.3224980739587953,1.3977926846349646
3.3000000000000007,5.1000000000000005,1.3800297616411443,1.3770509831248423
3.25,5.050000000000001,1.3710774967068404,1.4182840277439581
3.25,5.000000000000001,1.4029386365926404,1.411724276862369
3.1999999999999993,4.95,1.3985287751463031,1.4564168070250298
3.1999999999999993,4.9,1.4327723451163459,1.4528548142958106
3.1500000000000004,4.8500000000000005,1.4327723451163459,1.5006943105369108
3.1500000000000004,4.800000000000001,1.4691806012954132,1.495132307101624
3.0999999999999996,4.750000000000001,1.47341478509682,1.533712082089225
3.0999999999999996,4.7,1.5117670931993439,1.524828759089466
3.0500000000000007,4.65,1.5200274723201297,1.5668154702594472
3.0500000000000007,4.6000000000000005,1.5601075237738276,1.5607794065928395
3.0,4.550000000000001,1.5721645226849057,1.605911855254592
3.0,4.500000000000001,1.613765920900464,1.6026297590440448
2.9499999999999993,4.45,1.629378138157474,1.650640920313116
2.9499999999999993,4.4,1.6723082923316022,1.6500000000000001
2.8000000000000007,4.250000000000001,1.7359273071502335,1.75
2.6999999999999993,4.250000000000001,1.696246477767713,1.75
2.6500000000000004,4.2,1.7248456731316588,1.7000000000000002
0.9000000000000004,4.2,1.64164878389476,1.6
0.8499999999999996,4.250000000000001,1.6,1.6500000000000001
-0.05000000000000071,4.250000000000001,1.64164878389476,1.6
-0.09999999999999964,4.300000000000001,1.6,1.6500000000000001
-1.0999999999999996,4.300000000000001,1.6500000000000001,1.7012496096189502
-1.1500000000000004,4.250000000000001,1.7000000000000002,1.66468827043885
-1.450000000000001,4.250000000000001,1.705617112013158,1.7615528128088305
-1.5,4.2,1.7597329924045981,1.7359273071502335
-1.700000000000001,4.2,1.7886598574205423,1.827204738618265
-1.75,4.15,1.847673159491453,1.809502310972899
-1.8499999999999996,4.15,1.85,1.863330765278394
-1.9000000000000004,4.1000000000000005,1.9000000000000001,1.8505813167606568
-2.0,4.1000000000000005,1.9000000000000001,1.9102036105300344
-2.1500000000000004,3.95,1.85,1.893171219946131
-2.1500000000000004,3.8500000000000005,1.85,1.8213203435596428
-2.200000000000001,3.8000000000000007,1.8,1.8213203435596428
-2.200000000000001,3.750000000000001,1.8,1.7862646045025068
-2.25,3.7,1.75,1.7886598574205423
-2.25,3.6000000000000005,1.75,1.722992832414391
-2.3000000000000007,3.5500000000000007,1.7000000000000002,1.7303940504246953
-2.3000000000000007,3.45,1.7000000000000002,1.6704060495238033
-2.3500000000000005,3.4000000000000004,1.6500000000000001,1.683053201505194
-2.3500000000000005,3.250000000000001,1.6500000000000001,1.6039432764659773
-2.4000000000000004,3.2,1.6,1.6235384061671345
-2.4000000000000004,3.0500000000000007,1.605911855254592,1.5580904176062047
-2.45,3.0,1.5607794065928395,1.5848076824970765
-2.45,2.8000000000000007,1.5828170383762732,1.5200274723201297
-2.5,2.75,1.524828759089466,1.5553975315279474
-2.5,1.8,1.5506755523321747,1.5
-2.5500000000000007,1.7500000000000002,1.5,1.55
-2.5500000000000007,1.7,1.5,1.5506755523321747
-2.5,1.6500000000000001,1.55,1.5027756377319947
-2.5,1.3500000000000003,1.5110770276274836,1.5439088914585775
-2.45,1.3,1.5560711193270587,1.5069310999592653
-2.45,1.05,1.55,1.5848076824970765
-2.4000000000000004,1.0000000000000002,1.6,1.5580904176062047
-2.4000000000000004,0.95,1.6,1.5788294228055937
-2.3500000000000005,0.9000000000000001,1.55,1.5560711193270587
