# x_m, y_m, vx, yaw, ax, s_m
-0.118242,-0.055098,3.606862,-0.326885,2.202239,0.000000
0.070003,-0.118922,3.726736,-0.300961,1.954680,0.199595
0.261893,-0.173087,3.829994,-0.250330,1.805946,0.399189
0.457253,-0.217939,3.922979,-0.202493,1.696218,0.598784
0.652656,-0.253314,4.008351,-0.157599,1.734571,0.798379
0.850723,-0.280468,4.093812,-0.117002,1.834732,0.997973
1.049546,-0.299964,4.182309,-0.081231,2.029615,1.197568
1.248351,-0.312839,4.278073,-0.051255,2.350456,1.397162
1.448636,-0.320437,4.386363,-0.027995,2.700354,1.596757
1.647571,-0.324018,4.507564,-0.011624,3.153689,1.796352
1.847506,-0.325074,4.645111,-0.001909,3.224015,1.995946
2.047100,-0.324781,4.781636,0.002722,2.998792,2.195541
2.246765,-0.323987,4.905215,0.004076,2.789302,2.395136
2.446591,-0.323153,5.017429,0.003784,2.594446,2.594730
2.646250,-0.322475,5.119596,0.002675,2.413203,2.794325
2.845923,-0.322085,5.212830,0.000965,2.244621,2.993920
3.045779,-0.322090,5.298077,-0.001262,2.087816,3.193514
3.245496,-0.322589,5.376156,-0.003624,1.941965,3.393109
3.445233,-0.323537,5.447776,-0.004980,1.806303,3.592703
3.645281,-0.324580,5.513558,-0.001379,1.538491,3.792298
3.844104,-0.324087,5.568974,0.013113,-0.755259,3.991893
4.044344,-0.319347,5.541839,0.040590,-2.598210,4.191487
4.242994,-0.307887,5.447458,0.080036,-3.904182,4.391082
4.441679,-0.287477,5.302480,0.128650,-4.333858,4.590677
4.639155,-0.256638,5.136756,0.183744,-4.262373,4.790271
4.833509,-0.214660,4.968377,0.243531,-3.992866,4.989866
5.026612,-0.160370,4.805295,0.305199,-3.224154,5.189461
5.215350,-0.094364,4.669456,0.366908,-2.525943,5.389055
5.397952,-0.017660,4.560207,0.427332,-1.853747,5.588650
5.578601,0.071059,4.478336,0.483138,-0.815937,5.788244
5.752773,0.168481,4.441821,0.536769,-1.811424,5.987839
5.920567,0.274545,4.359665,0.595558,-3.916631,6.187434
6.081648,0.391338,4.176506,0.668078,-2.853238,6.387028
6.233248,0.521291,4.037848,0.756755,-2.853238,6.586623
6.371370,0.664922,3.894257,0.852785,-1.946823,6.786218
6.495152,0.821104,3.793163,0.943356,-0.690031,6.985812
6.605284,0.987473,3.756678,1.022949,0.324785,7.185407
6.702972,1.161712,3.773895,1.091513,1.033191,7.385002
6.789029,1.341031,3.828148,1.152217,1.198032,7.584596
6.864676,1.525198,3.890111,1.208944,1.128560,7.784191
6.930237,1.714087,3.947591,1.264161,0.993693,7.983785
6.985351,1.906328,3.997517,1.318056,0.933258,8.183380
7.029905,2.100000,4.043846,1.369968,1.002440,8.382975
7.064840,2.296798,4.093025,1.418539,1.145152,8.582569
7.090576,2.495396,4.148492,1.462640,1.371371,8.782164
7.107902,2.693397,4.213956,1.501006,1.790631,8.981759
7.118381,2.893148,4.297932,1.531883,2.261257,9.181353
7.123451,3.092768,4.401692,1.554282,2.883390,9.380948
7.124968,3.291996,4.530553,1.567516,3.407966,9.580543
7.124762,3.492431,4.678283,1.572476,3.169892,9.780137
7.124297,3.691364,4.811623,1.572678,2.948449,9.979732
7.124011,3.891256,4.932414,1.571554,2.742476,10.179326
7.123994,4.090908,5.042170,1.570471,2.550892,10.378921
7.124141,4.290428,5.142156,1.569800,2.372691,10.578516
7.124393,4.490446,5.233442,1.569378,2.206939,10.778110
7.124707,4.689705,5.316945,1.569377,2.052767,10.977705
7.124959,4.889579,5.393454,1.569989,1.909364,11.177300
7.125029,5.088831,5.463657,1.570931,1.775980,11.376894
7.124905,5.288605,5.528155,1.571719,1.651913,11.576489
7.124661,5.488207,5.587479,1.571903,1.536514,11.776084
7.124463,5.688107,5.642099,1.571651,1.429176,11.975678
7.124319,5.887755,5.692433,1.571706,1.329336,12.175273
7.124100,6.087849,5.738854,1.572285,1.236471,12.374867
7.123725,6.286972,5.781698,1.573174,1.150094,12.574462
7.123149,6.487578,5.821266,1.574073,1.069750,12.774057
7.122415,6.686637,5.857830,1.574592,-4.017840,12.973651
7.121633,6.887045,5.719292,1.574110,-12.380114,13.173246
7.121089,7.086793,5.269562,1.571766,-11.266121,13.372841
7.121246,7.285627,4.824000,1.566862,-10.898135,13.572435
7.122662,7.486444,4.349776,1.561658,-9.949540,13.772030
7.124897,7.685150,3.866368,1.565407,-6.920686,13.971625
7.124808,7.884664,3.490865,1.598163,-4.156809,14.171219
7.113955,8.084871,3.244501,1.678942,-2.060122,14.370814
7.081788,8.280910,3.115190,1.810515,-1.587380,14.570408
7.020006,8.469253,3.011768,1.973506,-1.587380,14.770003
6.926356,8.645781,2.904665,2.140907,-0.361075,14.969598
6.805261,8.804202,2.879747,2.307788,-0.476667,15.169192
6.659639,8.939655,2.846517,2.482140,-0.736919,15.368787
6.492161,9.046926,2.794368,2.665589,-0.692249,15.568382
6.307017,9.121446,2.744477,2.854883,-0.542378,15.767976
6.112063,9.158991,2.704744,3.052399,-0.697418,15.967571
5.913401,9.156648,2.652780,-3.020444,-0.960017,16.167166
5.719555,9.111206,2.579537,-2.800988,-0.517980,16.366760
5.539102,9.023989,2.539141,-2.599745,0.426389,16.566355
5.379455,8.906485,2.572440,-2.461668,3.937546,16.765949
5.229635,8.773774,2.861691,-2.403453,5.557547,16.965544
5.083239,8.637022,3.226110,-2.387711,5.178637,17.165139
4.939070,8.500971,3.532003,-2.382112,4.816867,17.364733
4.794422,8.362801,3.794455,-2.373662,4.480370,17.564328
4.651332,8.223113,4.023233,-2.361436,4.044206,17.763923
4.510474,8.081814,4.219100,-2.347589,3.635402,17.963517
4.371056,7.937971,4.387712,-2.334001,3.335260,18.163112
4.233940,7.792724,4.536895,-2.321934,3.272686,18.362707
4.098211,7.645760,4.678658,-2.312427,3.169278,18.562301
3.964037,7.498098,4.811962,-2.306100,2.947878,18.761896
3.830149,7.349399,4.932722,-2.303383,2.741945,18.961490
3.697283,7.201568,5.042450,-2.304272,2.550398,19.161085
3.563145,7.053122,5.142411,-2.308433,2.372232,19.360680
3.428551,6.905857,5.233675,-2.315355,2.080482,19.560274
3.293040,6.760002,5.312426,-2.324538,1.595925,19.759869
3.155418,6.614860,5.372052,-2.335173,1.337192,19.959464
3.016580,6.471668,5.421507,-2.346595,1.132630,20.159058
2.876149,6.330177,5.463046,-2.358457,0.979938,20.358653
2.733690,6.190055,5.498732,-2.370654,0.832053,20.558248
2.589773,6.051965,5.528851,-2.383276,0.683134,20.757842
2.444096,5.915736,5.553458,-2.396450,0.527187,20.957437
2.296469,5.781373,5.572373,-2.410428,0.311988,21.157031
2.147055,5.649286,5.583537,-2.425382,0.132191,21.356626
1.995453,5.519373,5.588260,-2.440924,0.005548,21.556221
1.842152,5.392121,5.588459,-2.455580,0.401266,21.755815
1.687003,5.266859,5.602772,-2.467671,0.842820,21.955410
1.530047,5.142856,5.632716,-2.476661,1.293350,22.155005
1.373474,5.021041,5.678361,-2.483125,1.357337,22.354599
1.215252,4.899314,5.725873,-2.489076,1.237586,22.554194
1.055991,4.778426,5.768852,-2.497731,0.332545,22.753789
0.896116,4.659783,5.780346,-2.510083,-0.146210,22.953383
0.733115,4.542264,5.775295,-2.524546,-0.466306,23.152978
0.569999,4.428415,5.759157,-2.539601,-0.250906,23.352572
0.404208,4.316284,5.750455,-2.552159,0.401396,23.552167
0.237707,4.206200,5.764370,-2.557884,1.185106,23.751762
0.070835,4.096098,5.805260,-2.553363,-2.972839,23.951356
-0.094640,3.984526,5.702133,-2.537295,-8.014426,24.150951
-0.257996,3.869051,5.414337,-2.508852,-6.186575,24.350546
-0.416477,3.748517,5.181258,-2.467377,-5.076408,24.550140
-0.569980,3.619732,4.981866,-2.414298,-4.209936,24.749735
-0.715010,3.482806,4.810242,-2.351195,-3.794637,24.949330
-0.850665,3.336227,4.650123,-2.280524,-3.717925,25.148924
-0.975636,3.179419,4.487704,-2.205238,-3.330897,25.348519
-1.086578,3.015668,4.337030,-2.125583,-2.953529,25.548113
-1.186122,2.839766,4.198906,-2.044971,-2.235689,25.747708
-1.270313,2.657668,4.091253,-1.963749,-1.718034,25.947303
-1.338449,2.472279,4.006561,-1.885163,-1.123062,26.146897
-1.392690,2.281297,3.950217,-1.819355,1.138298,26.346492
-1.436352,2.086544,4.007320,-1.769040,-5.944643,26.546087
-1.471116,1.890886,3.699402,-1.714250,-3.682123,26.745681
-1.493166,1.693217,3.495098,-1.629811,-1.998162,26.945276
-1.494551,1.494254,3.379063,-1.509461,-1.998162,27.144871
-1.468822,1.296804,3.258899,-1.369567,-1.483241,27.344465
-1.415087,1.104706,3.166754,-1.229852,-0.575345,27.544060
-1.335587,0.921285,3.130281,-1.097909,0.046659,27.743654
-1.233164,0.749113,3.133254,-0.974691,0.395253,27.943249
-1.111848,0.591497,3.158332,-0.859251,0.694577,28.142844
-0.973542,0.448003,3.201926,-0.752271,0.932568,28.342438
-0.820773,0.319095,3.259540,-0.653755,1.131185,28.542033
-0.656510,0.205111,3.328086,-0.564342,1.343949,28.741628
-0.483913,0.105857,3.407734,-0.484424,1.615823,28.941222
-0.303923,0.019563,3.501095,-0.414643,1.883283,29.140817
-0.118242,-0.055098,3.606862,-0.382307,2.202239,29.340412
