# ae68a1b2-3ab2-4aad-9857-3b424bfd1b5d
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 2.6659036; 4.1740687; 1.3952940; 0.7900458; 2.4839862; 2.9861797
0.1997176; 2.4704322; 4.1621447; 1.7988025; 0.8620196; 2.7134798; 2.5388852
0.3994352; 2.2778085; 4.1093789; 1.8301703; -0.1908674; 2.8943208; 2.1585902
0.5991528; 2.0904408; 4.0472565; 1.9837462; 0.9207841; 3.0396233; 0.0278491
0.7988704; 1.9226421; 3.9582233; 2.1248299; 0.6324892; 3.0414526; 1.8310874
0.9985880; 1.7533809; 3.8389982; 2.2339603; 0.3476186; 3.1594041; 1.5568121
1.1983057; 1.5977242; 3.7108248; 2.2775714; 0.1113431; 3.2563292; 1.3236200
1.3980233; 1.4387744; 3.5734943; 2.2840154; -0.0346398; 3.3365222; 1.1253573
1.5977409; 1.2838030; 3.4415669; 2.2628183; -0.1929233; 3.4032173; 0.9567921
1.7974585; 1.1239359; 3.3167638; 2.1970593; -0.3821593; 3.4589109; 0.8134759
1.9971761; 0.9669973; 3.2108517; 2.1392813; -0.1245310; 3.5055663; 0.6916268
2.1968937; 0.8017994; 3.1024512; 2.1991142; 0.9317372; 3.5447504; -4.4194860
2.3966113; 0.6509952; 2.9748322; 2.3211632; 0.1623608; 3.2863288; 1.2500161
2.5963289; 0.5037553; 2.8413176; 2.2717176; -0.4795039; 3.3614368; 1.0627785
2.7960465; 0.3436988; 2.7199612; 2.1640460; -0.5671540; 3.4239989; 0.9035868
2.9957641; 0.1709625; 2.6172324; 2.0504235; -0.5716188; 3.4763045; 0.5604029
3.1954817; -0.0099651; 2.5353451; 1.9429895; -0.5185423; 3.5083525; 0.6842984
3.3951994; -0.1999185; 2.4720616; 1.8438409; -0.4632249; 3.5470932; 0.5817986
3.5949170; -0.3949459; 2.4267702; 1.7556747; -0.4132208; 3.5797013; 0.4946520
3.7946346; -0.5924985; 2.3977632; 1.6796554; -0.3489440; 3.6071932; 0.4205590
3.9943522; -0.7914695; 2.3827058; 1.6145408; -0.3027588; 3.6304034; 0.3575642
4.1940698; -0.9908765; 2.3796982; 1.5586261; -0.2596720; 3.6500209; 0.3040053
4.3937874; -1.1904578; 2.3870390; 1.5107396; -0.2209164; 3.6666174; 0.2584689
4.5935050; -1.3898237; 2.4032174; 1.4700811; -0.1857676; 3.6806690; 0.2197533
4.7932226; -1.5876198; 2.4266862; 1.4364156; -0.1525539; 3.6925739; 0.1868368
4.9929402; -1.7850038; 2.4562220; 1.4091901; -0.1201055; 3.7026654; 0.1588509
5.1926578; -1.9822246; 2.4905980; 1.3883104; -0.0885058; 3.7112237; 0.1350569
5.3923754; -2.1779911; 2.5282924; 1.3739086; -0.0564351; 3.7184846; 0.1148270
5.5920931; -2.3734051; 2.5682050; 1.3658178; -0.0241495; 3.7246468; 0.0976272
5.7918107; -2.5694051; 2.6092308; 1.3641485; 0.0076694; 3.7298780; 0.0830038
5.9915283; -2.7646249; 2.6497732; 1.3690064; 0.0405361; 3.7343198; 0.0705708
6.1912459; -2.9602647; 2.6887568; 1.3803272; 0.0737015; 3.7380921; 0.0600002
6.3909635; -3.1574438; 2.7250409; 1.3983822; 0.1061769; 3.7412964; 0.0510128
6.5906811; -3.3538425; 2.7568741; 1.4229727; 0.1404646; 3.7440186; 0.0433717
6.7903987; -3.5518582; 2.7833080; 1.4543260; 0.1744078; 3.7463315; 0.0368751
6.9901163; -3.7509722; 2.8028558; 1.4926775; 0.2083111; 3.7482968; 0.0313517
7.1898339; -3.9496682; 2.8140466; 1.5375697; 0.2432312; 3.7499669; 0.0266556
7.3895515; -4.1501988; 2.8155927; 1.5897023; 0.2768057; 3.7513863; 0.0226629
7.5892691; -4.3486237; 2.8061281; 1.6484208; 0.3131657; 3.7525926; 0.0192682
7.7889868; -4.5473497; 2.7841846; 1.7141143; 0.3431935; 3.7536180; 0.0163821
7.9887044; -4.7436413; 2.7487737; 1.7853368; 0.3701974; 3.7544895; 0.0139282
8.1884220; -4.9372245; 2.6988834; 1.8610909; 0.3825037; 3.7552303; 0.0118420
8.3881396; -5.1266259; 2.6342397; 1.9387574; 0.3956414; 3.7558601; 0.0100682
8.5878572; -5.3107214; 2.5546493; 2.0190161; 0.4000792; 3.7563954; 0.0085601
8.7875748; -5.4870187; 2.4609616; 2.0999906; 0.4146255; 3.7568505; 0.0072779
8.9872924; -5.6571206; 2.3515361; 2.1851887; 0.4272670; 3.7572374; -3.2518862
9.1870100; -5.8131207; 2.2310514; 2.2732253; 0.4743512; 3.5802116; -10.4333942
9.3867276; -5.9633466; 2.0901700; 2.3776795; 0.5561011; 2.9411647; -10.1120338
9.5864452; -6.0930143; 1.9367314; 2.5099912; 0.7844175; 2.1474048; -9.9118627
9.7861628; -6.1924689; 1.7701706; 2.7245493; 1.6999259; 0.8075892; -0.2127132
9.9858805; -6.1933916; 1.5870435; -1.9823291; 21.1552488; 0.7531501; -0.2127132
10.1855981; -6.1401152; 1.4785177; 3.0414282; 1.4515687; 0.6944566; 5.1191488
10.3853157; -6.1325412; 1.2797817; -2.9723747; 1.1824281; 1.5896661; 4.3523606
10.5850333; -6.0771530; 1.0866240; -2.7632035; 0.8690893; 2.0653146; 3.7004283
10.7847509; -5.9892382; 0.9078381; -2.6151028; 0.5919753; 2.3965821; 3.1461478
10.9844685; -5.8819469; 0.7435132; -2.5103147; 0.5716596; 2.6458057; 2.6748920
11.1841861; -5.7563878; 0.5903415; -2.4018319; 0.5136693; 2.8405517; 2.2742247
