# 81ad89e2-ec31-4d74-8fbc-ee8eccd88f07
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 2.6423899; 4.4186326; 1.5436860; 0.1879309; 3.0381196; 1.8386860
0.1997856; 2.4467056; 4.4068583; 1.7459624; 1.1011553; 3.1567161; -2.7096761
0.3995711; 2.2524137; 4.3529199; 1.9280706; 0.7623021; 2.9802933; 1.8983142
0.5993567; 2.0711637; 4.2717021; 2.0465893; 0.5485156; 3.1049412; 1.6847526
0.7991422; 1.9003105; 4.1690748; 2.1801693; 0.6622826; 3.2115165; 1.3016354
0.9989278; 1.7494081; 4.0502753; 2.2906096; 0.5172206; 3.2914942; 1.2372747
1.1987133; 1.6000757; 3.9049067; 2.3922294; 0.4086841; 3.3657560; 1.0518825
1.3984989; 1.4684721; 3.7538454; 2.4506365; 0.1965528; 3.4276253; 0.8942693
1.5982845; 1.3392728; 3.5927210; 2.4764524; 0.0752067; 3.4793590; 0.7602727
1.7980700; 1.2154026; 3.4330615; 2.4844092; -0.0055890; 3.5227436; 0.6463541
1.9978556; 1.0910407; 3.2725520; 2.4861686; 0.1643337; 3.5592115; 0.5495049
2.1976411; 0.9805779; 3.1172169; 2.5769253; 0.5585284; 3.5899238; -0.0308964
2.3974267; 0.8815054; 2.9496173; 2.6122746; -0.2089984; 3.5882040; 0.4717971
2.5972122; 0.7741736; 2.7815526; 2.5217072; -0.5772302; 3.6143774; -0.4396730
2.7969978; 0.6479401; 2.6253625; 2.4011711; -0.5934398; 3.5899922; -0.4812949
2.9967834; 0.5039261; 2.4849469; 2.2874463; -0.5470160; 3.5631071; 0.2943316
3.1965689; 0.3476874; 2.3627047; 2.1833650; -0.5074410; 3.5795724; 0.4949980
3.3963545; 0.1780450; 2.2558085; 2.0837511; -0.4795272; 3.6070938; 0.4208279
3.5961400; -0.0012897; 2.1657013; 1.9896042; -0.4600705; 3.6303273; 0.3577714
3.7959256; -0.1872463; 2.0926761; 1.9015474; -0.4250884; 3.6499632; 0.3041633
