# x_m, y_m, vx, yaw, ax, s_m
-0.187707,0.030376,3.645464,-0.126236,4.256251,0.000000
0.009713,0.005321,3.871526,-0.110068,4.376975,0.199624
0.208822,-0.013446,4.090992,-0.087777,4.071163,0.399249
0.407765,-0.029709,4.285046,-0.078450,3.786717,0.598873
0.606776,-0.044730,4.457966,-0.073009,3.522144,0.798497
0.806136,-0.058845,4.612989,-0.067956,3.276057,0.998121
1.005117,-0.071841,4.752645,-0.062125,3.047164,1.197746
1.204592,-0.083631,4.878956,-0.055634,2.834263,1.397370
1.403860,-0.094048,4.993574,-0.048599,2.636238,1.596994
1.603371,-0.103027,5.097872,-0.041188,2.452048,1.796619
1.802890,-0.110492,5.193003,-0.033527,2.280727,1.996243
2.002495,-0.116413,5.279948,-0.025772,2.121376,2.195867
2.202047,-0.120781,5.359553,-0.018051,1.973158,2.395492
2.401804,-0.123622,5.432549,-0.010516,1.835297,2.595116
2.601393,-0.124981,5.499575,-0.003035,1.707067,2.794740
2.801124,-0.124834,5.561194,0.005110,1.587797,2.994364
3.000869,-0.122940,5.617900,0.015980,1.476860,3.193989
3.200274,-0.118455,5.670135,0.032705,1.373674,3.393613
3.400185,-0.109876,5.718293,0.057009,-0.205471,3.593237
3.598825,-0.095709,5.711115,0.089435,-2.076300,3.792862
3.797853,-0.074215,5.638074,0.129319,-3.234907,3.992486
3.995152,-0.044169,5.522350,0.175960,-3.926488,4.192110
4.190373,-0.004426,5.378541,0.228386,-4.126875,4.391735
4.384051,0.046228,5.223127,0.285437,-3.969359,4.591359
4.573387,0.107970,5.069151,0.346924,-3.720220,4.790983
4.758971,0.181779,4.920467,0.411924,-3.303034,4.990607
4.939462,0.267916,4.784586,0.479923,-2.861185,5.190232
5.112697,0.365898,4.663683,0.550868,-2.494787,5.389856
5.279061,0.476531,4.555645,0.624343,-2.159594,5.589480
5.436911,0.599490,4.460010,0.700499,-1.911954,5.789105
5.584134,0.733751,4.373596,0.778986,-1.631464,5.988729
5.720004,0.878975,4.298486,0.857864,-1.149956,6.188353
5.845120,1.035595,4.244745,0.931000,0.537369,6.387977
5.958795,1.199833,4.269942,0.992531,2.093088,6.587602
6.063026,1.369452,4.366700,1.039354,3.598772,6.787226
6.160453,1.542872,4.528231,1.071660,3.411647,6.986850
6.253754,1.719294,4.676213,1.092501,3.173280,7.186475
6.343730,1.896385,4.809771,1.110621,2.951568,7.386099
6.430130,2.075130,4.930751,1.134133,2.745346,7.585723
6.512184,2.257323,5.040673,1.164224,1.782567,7.785348
6.588759,2.443554,5.110780,1.198730,0.827072,7.984972
6.657347,2.629304,5.142983,1.236178,0.396113,8.184596
6.719350,2.819148,5.158335,1.274670,0.220918,8.384220
6.774323,3.012712,5.166878,1.313242,0.165268,8.583845
6.821080,3.205358,5.173259,1.351516,0.386898,8.783469
6.860980,3.401545,5.188167,1.388125,0.602062,8.983093
6.893713,3.598543,5.211281,1.422962,0.917023,9.182718
6.919757,3.796231,5.246291,1.455260,1.327530,9.382342
6.939805,3.995703,5.296563,1.484298,1.721423,9.581966
6.954256,4.194079,5.361050,1.509811,1.970350,9.781591
6.964128,4.394045,5.433923,1.530983,1.832684,9.981215
6.970156,4.593214,5.500838,1.547616,1.704637,10.180839
6.973379,4.793076,5.562355,1.559340,1.585537,10.380463
6.974732,4.992685,5.618969,1.566428,1.474758,10.580088
6.975123,5.192322,5.671121,1.569981,1.371719,10.779712
6.975058,5.392081,5.719201,1.571797,1.275879,10.979336
6.974724,5.591695,5.763563,1.572742,1.186735,11.178961
6.974281,5.791497,5.804521,1.572945,1.103820,11.378585
6.973865,5.991431,5.842359,1.572807,1.026697,11.578209
6.973478,6.190813,5.877335,1.572738,0.954964,11.777833
6.973088,6.391227,5.909681,1.572669,0.888242,11.977458
6.972730,6.590490,5.939610,1.572309,0.826182,12.177082
6.972484,6.790824,5.967312,1.571282,0.768457,12.376706
6.972536,6.990424,5.992964,1.569344,-9.243201,12.576331
6.973064,7.189938,5.676732,1.566857,-15.810907,12.775955
6.974111,7.390312,5.090462,1.567665,-13.255016,12.975579
6.974311,7.588204,4.541008,1.580106,-8.842803,13.175204
6.970392,7.789730,4.134039,1.617206,-5.749661,13.374828
6.955715,7.988602,3.846392,1.689012,-3.554724,13.574452
6.923564,8.184014,3.657255,1.794434,-2.187853,13.774076
6.867398,8.376908,3.535819,1.926579,-2.187853,13.973701
6.784570,8.558060,3.410062,2.076152,-1.842578,14.173325
6.675435,8.723864,3.300436,2.224518,-0.230251,14.372949
6.543387,8.872881,3.286479,2.361107,1.398332,14.572574
6.392954,9.003584,3.370346,2.500384,-1.308061,14.772198
6.225495,9.110163,3.291958,2.658914,-1.896473,14.971822
6.042013,9.187484,3.174874,2.832529,-1.538115,15.171447
5.846635,9.231132,3.076643,3.014292,-1.047780,15.371071
5.648063,9.237907,3.007891,-3.077332,-1.200354,15.570695
5.451930,9.205733,2.927144,-2.874715,-1.070211,15.770319
5.265890,9.133421,2.853224,-2.672501,0.019444,15.969944
5.097654,9.026177,2.854584,-2.499386,2.624058,16.169568
4.947523,8.895289,3.032541,-2.378682,4.979721,16.369192
4.809009,8.750230,3.344316,-2.311085,5.042721,16.568817
4.677903,8.600177,3.632871,-2.275516,4.690394,16.768441
4.550786,8.446577,3.882059,-2.251739,4.362683,16.968065
4.426238,8.289565,4.100266,-2.231505,4.057869,17.167689
4.305630,8.131159,4.293283,-2.213193,3.774352,17.367314
4.187009,7.969859,4.465331,-2.198879,3.510643,17.566938
4.070648,7.807574,4.619610,-2.190050,3.265360,17.766562
3.954899,7.644219,4.758623,-2.187976,3.037214,17.966187
3.839448,7.481783,4.884372,-2.193274,2.825009,18.165811
3.721875,7.319517,4.998497,-2.205990,2.627629,18.365435
3.602492,7.160312,5.102357,-2.225044,2.444041,18.565060
3.479203,7.003096,5.197098,-2.247021,2.273279,18.764684
3.352545,6.848827,5.283695,-2.268963,2.114449,18.964308
3.222915,6.697685,5.362987,-2.289677,1.966715,19.163932
3.089723,6.548490,5.435700,-2.308641,1.829304,19.363557
2.954160,6.402073,5.502470,-2.325895,1.701493,19.563181
2.816313,6.257989,5.563857,-2.341402,1.582612,19.762805
2.676058,6.115619,5.620352,-2.355185,1.472038,19.962430
2.534222,5.975328,5.672395,-2.367329,1.369189,20.162054
2.390786,5.836629,5.720377,-2.377875,1.273525,20.361678
2.245900,5.699243,5.764648,-2.386941,1.184546,20.561302
2.100019,5.563215,5.805523,-2.394701,1.101784,20.760927
1.953065,5.428135,5.843285,-2.401370,1.024804,20.960551
1.805485,5.294158,5.878191,-2.407364,0.953202,21.160175
1.656940,5.160864,5.910473,-2.413143,0.886603,21.359800
1.507628,5.028431,5.940343,-2.419163,0.824658,21.559424
1.358096,4.897470,5.967991,-2.426499,0.767040,21.759048
1.206268,4.766724,5.993593,-2.436899,0.713448,21.958673
1.053990,4.638875,6.017308,-2.453321,0.452733,22.158297
0.898298,4.513438,6.032309,-2.476962,-1.343928,22.357921
0.739063,4.392114,5.987670,-2.506700,-2.604711,22.557545
0.576642,4.276495,5.900192,-2.540362,-2.603209,22.757170
0.409583,4.166108,5.811448,-2.573849,-2.126992,22.956794
0.239764,4.061637,5.737921,-2.599713,1.238346,23.156418
0.067455,3.960151,5.780843,-2.610975,1.151825,23.356043
-0.104957,3.859373,5.820482,-2.605538,-4.943102,23.555667
-0.276129,3.756035,5.648405,-2.583279,-7.900694,23.755291
-0.443608,3.647851,5.361916,-2.545318,-6.119575,23.954916
-0.606647,3.531718,5.129026,-2.493812,-4.639510,24.154540
-0.761772,3.407094,4.945158,-2.430304,-4.043692,24.354164
-0.908926,3.271223,4.779137,-2.357689,-3.802527,24.553788
-1.044757,3.124954,4.617575,-2.278144,-3.660173,24.753413
-1.167918,2.968283,4.456532,-2.194109,-2.979405,24.953037
-1.278081,2.800406,4.321013,-2.108649,-2.069126,25.152661
-1.372458,2.625391,4.224341,-2.022405,-1.440435,25.352286
-1.452036,2.441766,4.155715,-1.937580,-0.692567,25.551910
-1.516167,2.251312,4.122313,-1.854013,-0.475091,25.751534
-1.563664,2.058217,4.099242,-1.769482,-0.569801,25.951158
-1.594423,1.862639,4.071399,-1.681938,-0.913956,26.150783
-1.607645,1.664128,4.026338,-1.590748,-1.252865,26.350407
-1.602367,1.464533,3.963734,-1.493174,-2.569903,26.550031
-1.576770,1.267157,3.832122,-1.381288,-2.569903,26.749656
-1.527671,1.075104,3.695826,-1.256236,-2.107443,26.949280
-1.454559,0.891545,3.580187,-1.125334,-1.590727,27.148904
